id,location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,magneticfield,proximity
1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0
